#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,LAMAR JACKSON,QB,BAL,25.1,17.4,26,23.6,33.4,19.9,34.4,24.2,23.6,32.9,15.9,22.6,25.4,BYE,36.1,21.5,29.4,,25.7,411.4
2,JOSH ALLEN,QB,BUF,31.2,9.8,30.9,7.3,14.6,24.4,21,20.8,23.1,20.2,25,BYE,28.4,51.9,41.3,12.2,23,,24.1,385.0
3,JAMARR CHASE,WR,CIN,12.2,7.5,29.8,17.5,41.3,12.2,17.6,20.4,11.3,55.4,26.5,BYE,20.6,45.1,18.4,22.4,19.2,,23.6,377.4
4,JOE BURROW,QB,CIN,8.1,17.2,25.4,17.3,34.8,19.8,14.9,13.9,30.1,33.7,29,BYE,20.3,25.6,18.8,22,37,,23.0,367.8
5,JAYDEN DANIELS,QB,WAS,28.2,13.4,28.1,25,20.7,21,5.2,22.2,19.9,8.6,14.4,32.4,28.6,BYE,23.6,36.4,32.8,,22.5,360.6
6,BAKER MAYFIELD,QB,TB,29.7,19.8,9.5,28.9,23.4,28.9,29,24.3,18,8.9,BYE,18.7,12.2,21,29,23.3,34.6,,22.4,359.2
7,SAQUON BARKLEY,RB,PHI,33.2,17.6,33.6,13.6,BYE,7.4,26.7,12.1,32.9,8.8,33.8,46.2,19.7,14.4,9.4,27,18.9,,22.2,355.3
8,JALEN HURTS,QB,PHI,18.4,24.8,11.9,16.3,BYE,21.9,22.8,35.1,29.9,30.7,18.7,15.1,17.6,24.2,28.1,4.5,-,,21.3,320.1
9,JARED GOFF,QB,DET,12.4,10.8,15.6,27.2,BYE,25.1,18.8,15.5,9.6,12.8,34.6,10.8,16.9,23,41.1,25.3,25.8,,20.3,325.2
10,JAHMYR GIBBS,RB,DET,17.4,17.6,16.3,19.8,BYE,12.1,32,20.3,14.6,12.8,19.3,24.9,10.4,19.3,28.4,25.4,26.3,,19.8,316.9
11,CHRIS GODWIN,WR,TB,22.3,24.7,17.3,12.9,11.6,35.5,13.5,-,-,-,BYE,-,-,-,-,-,-,,19.7,137.8
12,SAM DARNOLD,QB,SEA,15.6,20.9,23.2,21.5,5.3,-,17.3,18.2,21,9.4,23.6,21.1,19.6,34.6,12.2,22.9,25.8,,19.5,312.3
13,BIJAN ROBINSON,RB,ATL,16.1,16.2,13.2,11.4,10.7,25.5,23.3,23.6,21.5,29.4,10.3,BYE,25.5,20.1,14.5,24.3,24.8,,19.4,310.4
14,JUSTIN JEFFERSON,WR,MIN,15.9,23.3,20.1,20.5,15.2,BYE,21.4,19.5,21.6,9.8,14.1,4.7,16.9,32.2,20.3,36.4,17.2,,19.3,309.1
14,TEE HIGGINS,WR,CIN,-,-,6.9,12,29.3,14.7,18.2,-,-,-,29.8,BYE,17.9,4.3,19.8,19.8,40.1,,19.3,212.8
16,DERRICK HENRY,RB,BAL,10.6,16.6,30.4,35.9,16.6,25.2,25.2,14.7,26.3,14.1,10.5,14,14.1,BYE,6.7,20.9,24.5,,19.1,306.3
17,ALVIN KAMARA,RB,NO,22,44,15.7,24.9,12.6,17.4,8.4,18.2,27.5,15.9,12.9,BYE,15.9,12.9,17,-,-,,19.0,265.3
18,AMON-RA ST BROWN,WR,DET,4.3,22.9,20.5,20.8,BYE,13.7,25.2,8.7,18.6,18,38.7,12.2,12.3,10.3,37.3,19,20,,18.9,302.5
19,PUKA NACUA,WR,LAR,8.2,-,-,-,-,BYE,-,18.1,2.1,18.8,25.3,20.7,17.3,41.8,17.8,13.6,22.9,,18.8,206.6
20,BROCK PURDY,QB,SF,10.3,15,25.8,15.6,15.1,24.1,20.2,26,BYE,23.8,19.4,-,2.2,22.1,5,22.1,32.3,,18.6,278.9
21,BO NIX,QB,DEN,13,10.3,19.3,6.7,23.1,21.7,14.1,29.8,18.7,16.1,28.8,19.4,14.2,BYE,16.5,21,22.9,,18.5,295.7
22,PATRICK MAHOMES,QB,KC,16.1,14.9,17.4,14,14.4,BYE,14.1,19.2,24.5,16.5,17.8,28.8,16.6,14.1,15.8,23.7,26,,18.4,294.0
23,MALIK NABERS,WR,NYG,11.6,28.7,28.2,23.1,-,-,8.1,14.1,14.9,10.8,BYE,12.4,15.3,14.9,24.2,13.8,36.1,,18.3,256.2
24,JOE MIXON,RB,HOU,26.8,8,-,-,-,27.2,26.4,23.4,16.6,17,35.3,9.5,21.9,BYE,10.6,8.1,5.9,,18.2,236.7
25,NICO COLLINS,WR,HOU,17.7,27.5,12.6,33.1,15.8,-,-,-,-,-,9.4,20.2,19.9,BYE,17.7,13,8.9,,17.8,195.8
26,DEVON ACHANE,RB,MIA,23,29.5,8.8,5.9,2.7,BYE,10.5,26.7,32.1,10.2,20.5,20.6,21,18.9,14.6,31,5.8,,17.6,281.8
26,JOSH JACOBS,RB,GB,12.4,13.1,5.8,11.8,16.4,12,20.2,25.5,12.8,BYE,23.4,28.6,21.7,24.6,21.6,20.7,10.9,,17.6,281.5
26,CEEDEE LAMB,WR,DAL,13.6,19,8.7,23.6,11.4,16.1,BYE,39.6,16.2,8.4,18.6,16.8,5.9,21.4,26.6,17.5,-,,17.6,263.4
29,KYLER MURRAY,QB,ARI,14.2,28.5,15.8,10,25.1,12,21.2,22.2,4.8,28.7,BYE,11.3,17.2,20,10.1,21.4,18,,17.5,280.4
30,JORDAN LOVE,QB,GB,17.4,-,-,31.2,17,26.6,18.8,6.7,11.9,BYE,21.2,14.7,19,14.5,17.6,11.5,14,,17.3,242.1
31,JAMES COOK,RB,BUF,13.3,28.5,18.7,5.8,17.9,-,9.2,28.3,11.9,15.5,19.7,BYE,19,4.9,26.3,27.6,11.3,,17.2,257.9
32,MIKE EVANS,WR,TB,23.1,7.2,3.7,23.4,23.2,5.4,9.5,-,-,-,BYE,11.8,25.8,10.9,36.9,11.9,29.7,,17.1,222.5
32,TUA TAGOVAILOA,QB,MIA,18.6,8.5,-,-,-,BYE,-,14.7,17.5,9.2,23.5,28.5,25.2,23.5,6.8,12.5,-,,17.1,188.6
34,KYREN WILLIAMS,RB,LAR,14.4,15.2,31.6,20.4,15.5,BYE,19.6,22.6,10.5,11.2,8.6,11.2,18.3,23.7,13.2,19.9,16.2,,17.0,272.1
34,DAVANTE ADAMS,WR,LAR,10.9,26,8,-,-,BYE,6,9.4,22.1,9.1,13.2,-,17.6,25.9,42.8,19.8,9.7,,17.0,220.5
36,JONATHAN TAYLOR,RB,IND,10.8,15.5,26.5,19.8,-,-,-,18.7,8.9,14.2,7,3.5,17.3,BYE,10.1,39.8,27.6,,16.9,219.7
37,BRIAN THOMAS,WR,JAC,14.7,11.4,9.8,21.9,23.2,5.7,22.1,15,6.2,3.2,13.6,BYE,18.7,16.6,32.5,28.2,23.9,,16.7,266.7
37,AJ BROWN,WR,PHI,22.9,-,-,-,BYE,23.6,19.9,13.4,5.6,15.9,11.5,22.9,11.6,8.3,25,23.7,12.6,,16.7,216.9
39,GEORGE KITTLE,TE,SF,8,20.6,-,14.5,20.4,22.8,15.2,24.8,BYE,14.7,-,20.2,1.7,21.1,10.1,18.6,19.2,,16.6,231.9
39,RUSSELL WILSON,QB,NYG,-,-,-,-,-,-,24.9,13.8,-,19.1,7.3,13.8,27.9,16,8.4,16.4,18.7,,16.6,166.3
41,KENNETH WALKER,RB,SEA,18.9,-,-,33.6,14.6,20.9,23.3,8.5,13.7,BYE,13.9,13.3,6.6,-,-,13.9,-,,16.5,181.2
42,JUSTIN HERBERT,QB,LAC,10.4,12,9,11.2,BYE,13.7,14.8,24.1,19.5,19.8,24.4,17.6,8,13.7,14.8,23.2,24.4,,16.3,260.4
43,RASHEE RICE,WR,KC,17.3,18.5,29.1,0,-,BYE,-,-,-,-,-,-,-,-,-,-,-,,16.2,64.9
44,CHUBA HUBBARD,RB,CAR,1.4,11.6,27.9,22.1,17.5,15.3,11.2,9.1,21.2,24.9,BYE,15,2.3,20.7,8.9,32.5,-,,16.1,241.6
