#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
494,TYQUAN THORNTON,WR,KC,2.7,0,0,0,0,BYE,-,2,-,-,-,-,-,-,-,-,-,,0.8,4.7
495,CHARLIE WOERNER,TE,ATL,0.4,0,0,0,0,0,0,1.3,0,0,-,BYE,0.5,1.1,0.7,0,0.6,,0.3,4.6
496,JONATHON BROOKS,RB,CAR,-,-,-,-,-,-,-,-,-,-,BYE,0.7,4.1,-0.3,-,-,-,,1.5,4.5
496,CHARLIE JONES,WR,CIN,-1.5,0,0,0,0,0,6,0,-,-,-,BYE,-,-,-,-,-,,0.6,4.5
496,PHARAOH BROWN,TE,MIA,-,-,0.9,0.3,0.7,0,0,0,0,-,0,1.9,0,0.6,0,1.7,-1.6,,0.3,4.5
499,CODY WHITE,WR,SEA,-,-,-,-,-,-,-,-,4.4,BYE,0,0,0,-,-,-,-,,1.1,4.4
499,DELEON ESKRIDGE,WR,MIA,-,-,3,0,-,BYE,-,0.6,0,-,-,-,-,0,-,-,0.8,,0.7,4.4
499,JJ TAYLOR,RB,HOU,-,-,0.3,1.8,-,-,-,-,2.3,0,-,-,-,BYE,-,-,-,,1.1,4.4
502,BEN SIMS,TE,GB,0,0,0,0,0,3.8,0.2,0,0,BYE,0,0,0,0.2,0,0,0,,0.3,4.2
503,TIM JONES,WR,MIN,0,-,0,0,0,0,0,2,1,0,0,-,0,0,0,0,1.1,,0.3,4.1
503,TERRACE MARSHALL,WR,PHI,-,-,-,-,BYE,-,-,-,-,-,0,-,0,0.6,0.7,0,2.8,,0.7,4.1
505,JUDE MCATAMNEY,K,NYG,-,-,-,-,-,-,-,-,4,-,BYE,-,-,-,-,-,-,,4.0,4.0
506,DAVIS ALLEN,TE,LAR,0,-,-,-,0,BYE,0,0,0.5,3.4,0,0,0,0,0,0,0,,0.3,3.9
507,TUCKER FISK,TE,LAC,-,-,-,-,BYE,-,-,-,-,0,0.6,0.7,0.1,0,0.7,1,0.8,,0.5,3.9
508,ZAY JONES,WR,ARI,-,-,-,-,-,-,0,0.3,0,0,BYE,0,0,1.3,0.3,0,1.9,,0.4,3.8
509,TIP REIMAN,TE,ARI,0,0,0,0,0.5,0,0.1,0,0,0,BYE,0,0.9,1.4,0.8,0,0,,0.2,3.7
509,DAN CHISENA,WR,FA,-,-,-,-,-,-,-,-,-,-,-,0,0.6,0,-,2.3,0.8,,0.7,3.7
511,XAVIER SMITH,WR,LAR,-,-,0,0,0.6,BYE,3,0,0,0,0,0,0,0,0,0,0,,0.3,3.6
511,GERALD EVERETT,TE,FA,-0.1,0.1,0,0,2.2,0,-,0.3,0.5,0,0,0,0,0,0,0.6,0,,0.2,3.6
513,TREYLON BURKS,WR,TEN,0.3,0,0.9,1.3,BYE,1,-,-,-,-,-,-,-,-,-,-,-,,0.7,3.5
514,TRAVIS HOMER,RB,CHI,1,0.6,-,-,-,-,BYE,-,0,0,0,0,0,1.1,0.7,-,-,,0.4,3.4
514,BRITAIN COVEY,WR,LAR,0,2.3,1.1,-,-,BYE,-,-,-,-,-,0,0,-,-,-,-,,0.7,3.4
516,DAVIS MILLS,QB,HOU,-,-,3.2,-,-,0,-,-,-,-,-,-,-,BYE,-,-,0.2,,1.1,3.4
517,RAHEEM BLACKSHEAR,RB,CAR,0,0,0,0,0,0,0,0,0,0,BYE,0,0,0,-,1.3,2,,0.2,3.3
