#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
596,ALIZÉ MACK,RB,FA,0,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,,0.0,0.0
596,TYREE JACKSON,TE,WAS,-,-,-,-,-,-,-,-,-,0,0,-,-,BYE,-,-,-,,0.0,0.0
596,BRADY RUSSELL,TE,SEA,-,-,0,-,BYE,-,0,0,-,0,0,-,0,0,0,0,-,,0.0,0.0
596,JORDAN THOMAS,TE,FA,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,,0.0,0.0
596,COREY CLEMENT,RB,FA,-,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,,0.0,0.0
596,ISAIAH WINSTEAD,WR,FA,-,-,-,0,-,-,0,0,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,LAQUON TREADWELL,WR,IND,-,-,-,0,0,-,-,-,-,-,BYE,-,-,-,-,-,0,,0.0,0.0
596,MATT SLATER,WR,FA,-,-,-,0,0,-,0,-,-,-,-,-,-,0,-,-,0,,0.0,0.0
596,SEAN MCKEON,TE,IND,-,-,-,0,0,0,-,0,0,0,0,0,0,-,-,-,-,,0.0,0.0
596,BRYANT KOBACK,RB,FA,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,JAMYCAL HASTY,RB,FA,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,MONTRELL WASHINGTON,WR,NYG,-,-,0,0,0,0,-,-,-,-,-,0,BYE,-,-,-,-,,0.0,0.0
596,DEVON ALLEN,WR,FA,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,ANDY ISABELLA,WR,SF,-,-,0,-,-,-,-,-,BYE,-,-,0,-,-,-,-,-,,0.0,0.0
596,BRAYDEN WILLIS,TE,SF,-,-,0,0,-,-,-,-,BYE,-,-,-,-,0,0,0,0,,0.0,0.0
596,RODNEY WILLIAMS,TE,FA,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
596,JOHN FITZPATRICK,TE,GB,-,-,0,-,0,BYE,-,0,-,0,-,-,-,-,-,-,-,,0.0,0.0
596,TRE MCKITTY,TE,FA,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,DALTON KEENE,TE,FA,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,,0.0,0.0
596,KIRK MERRITT,WR,FA,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,CEPHUS JOHNSON,WR,FA,0,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,TRAVIS HOMER,RB,CHI,0,-,0,0,-,-,0,0,-,-,-,0,BYE,0,0,-,-,,0.0,0.0
596,KEARIS JACKSON,WR,FA,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,JULIUS CHESTNUT,RB,TEN,0,0,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,JUWANN WINFREE,WR,FA,0,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,,0.0,0.0
596,TREQUAN SMITH,WR,FA,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,PARKER HESSE,TE,FA,0,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,,0.0,0.0
596,PHILLIP DORSETT,WR,LV,0,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,0,,0.0,0.0
596,MATT BUSHMAN,TE,FA,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,DARRELL DANIELS,TE,FA,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,JORDAN MIMS,RB,TEN,-,-,-,-,0,0,BYE,-,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,NKEAL HARRY,WR,FA,-,-,-,-,0,0,0,0,0,0,0,0,-,-,-,-,-,,0.0,0.0
596,SARODORICK THOMPSON,RB,FA,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,,0.0,0.0
596,STANLEY MORGAN,WR,FA,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,,0.0,0.0
596,DAMIERE BYRD,WR,FA,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,,0.0,0.0
596,ALBERT OKWUEGBUNAM,TE,FA,-,-,-,-,-,-,-,-,0,-,0,0,0,-,-,-,-,,0.0,0.0
596,NICK VANNETT,TE,FA,-,-,-,-,-,-,-,-,0,0,0,-,-,0,0,0,0,,0.0,0.0
596,MAX DUGGAN,QB,FA,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,,0.0,0.0
596,JALEN VIRGIL,WR,BUF,-,-,-,-,-,-,-,0,-,-,-,-,BYE,-,-,-,-,,0.0,0.0
596,DJ TURNER,WR,FA,-,-,-,-,-,-,-,0,0,-,0,-,-,0,0,0,-,,0.0,0.0
596,ANDRE BACCELLIA,WR,ARI,-,-,-,-,-,-,-,0,0,-,0,0,0,BYE,-,-,-,,0.0,0.0
596,ZACK KUNTZ,TE,NYJ,-,-,-,-,-,-,BYE,0,-,-,-,-,-,-,-,-,-,,0.0,0.0
