"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"508","Pharaoh Brown","TE","MIA","-","-","1.9","1.3","1.7","0","0","0","0","-","0","3.9","0","1.6","0","2.7","-0.6","","0.9","12.5"
"508","Julius Chestnut","RB","TEN","0","0","-","-","BYE","0.2","3.4","3.2","2.2","0","0","1.5","0","0","-","0","1.7","","0.9","12.2"
"508","Scotty Miller","WR","PIT","0","0","5.1","0","0","0","0","0","BYE","-","0","-","-","6.8","0","0","0","","0.9","11.9"
"508","Laviska Shenault Jr.","WR","BUF","1.1","1.6","1.2","2.8","0","4","0","2","0","-","0","BYE","-2","-","0","-","-","","0.9","10.7"
"508","Peyton Hendershot","TE","FA","-","0","-","-","-","-","-","-","1.9","1.6","2.1","0","-","-","-","-","0","","0.9","5.6"
"508","DJ Chark Jr.","WR","ATL","-","-","-","-","-","-","-","-","-","0","-","BYE","0","1.9","3.6","0","0","","0.9","5.5"
"508","Hendon Hooker","QB","DET","-","-","-","-","BYE","0.7","-","0.2","-","-","1.8","-","-","-","-","-","-","","0.9","2.7"
"522","C.J. Ham","RB","MIN","1.1","0","0","0","7","BYE","0","0","0","0","0","0","0","0","0","1.9","3.5","","0.8","13.5"
"522","Hunter Long","TE","JAC","0","0","0","0","3.6","-","1.5","2.8","1.4","0","0","0","0","0","3.7","0","0","","0.8","13"
"522","Charlie Woerner","TE","ATL","1.4","0","0","0","0","0","0","2.3","0","0","-","BYE","1.5","2.1","2.7","0","1.6","","0.8","11.6"
"522","Davis Allen","TE","LAR","0","-","-","-","0","BYE","0","0","1.5","8.4","0","0","0","0","0","0","0","","0.8","9.9"
"522","Zay Jones","WR","ARI","-","-","-","-","-","-","0","1.3","0","0","BYE","0","0","2.3","1.3","0","2.9","","0.8","7.8"
"522","Mitchell Trubisky","QB","BUF","-","-0.2","0","0.1","0","-","-","-0.3","-","-0.1","-","BYE","-0.1","-","-","-","6.7","","0.8","6"
"522","Cam Grandy","TE","CIN","-","-","-","-","-","-","-","-","-","1","0","BYE","0","0","3.2","0","1.7","","0.8","5.9"
"522","River Cracraft","WR","FA","-","-","-","-","-","-","-","-","-","0","0","0","0","-","1.6","1.6","2.6","","0.8","5.8"
"522","Mike Boone","RB","FA","0.7","-","-","-","-","-","-","-","-","-","-","-","-","-","1.4","0.1","1.1","","0.8","3.3"
"522","Taylor Heinicke","QB","LAC","-","-","1","-","BYE","-","-","-","-","-","-","-","-","1.2","0.2","-","0.8","","0.8","3.1"
"522","Rasheen Ali","RB","BAL","-","-","-","-","-","-","-","-","-","-","-","-","0","BYE","3.2","0.2","-0.3","","0.8","3.1"
"522","Robbie Chosen","WR","FA","0","1.5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","0.8","1.5"
"522","Kyle Allen","QB","DET","-","-","-","-","0.8","-","-","-","-","-","-","-","-","-","-","-","-","","0.8","0.8"
"535","Gerald Everett","TE","FA","0.9","2.1","0","0","4.2","0","-","1.3","1.5","0","0","0","0","0","0","1.6","0","","0.7","11.6"
"535","Sione Vaki","RB","DET","0","2.7","0","-","BYE","0.5","0","0","-","0","0.9","0","-","-","0","4","0","","0.7","8.1"
"535","Will Mallory","TE","IND","-","-","-","0","1.7","0","1.5","0","0","2","-","-","1.7","BYE","0","0","-","","0.7","6.9"
