"31","Amon-Ra St. Brown","WR","DET","13.1","8.2","10.6","11.6","-","18.4","10.2","10.8","BYE","22.5","13.7","9.5","10.9","2.1","17.2","16.6","16.1","","12.8","191.5"
"32","Joe Mixon","RB","HOU","7.3","9.5","13","7.6","9.4","6.2","BYE","17","12.8","10.5","16","6","23.7","18.5","12.1","7","14.7","","12","191.3"
"33","Breece Hall","RB","NYJ","14.7","0.9","2.7","6.9","25.4","15.3","BYE","15.3","6","7.5","13.3","4.9","4.5","18.6","1.8","31.1","18.6","","11.7","187.5"
"34","A.J. Brown","WR","PHI","7.9","2.9","13.1","29.5","12.7","13.1","19.7","25","12.6","BYE","0.8","9.7","11.4","7.4","5.6","8","5.3","","11.5","184.7"
"35","DJ Moore","WR","CHI","2.5","10.4","10.1","19.1","41","5.1","5.4","5.5","2.4","5.9","15.6","11.4","BYE","20.8","5.2","1.8","21.9","","11.5","184.1"
"36","James Cook","RB","BUF","6.3","15.9","11.2","13.7","2.1","7.1","16.2","7.3","3.9","10","16.2","10","BYE","20.1","34.1","5","4.4","","11.5","183.5"
"37","Puka Nacua","WR","LAR","11.9","15.1","7.2","22.3","13.1","2.6","15.4","4.3","3.2","BYE","13.7","2.7","19.9","9","5.3","24","13.7","","11.5","183.4"
"38","David Montgomery","RB","DET","13.4","11.4","-","32.1","18.9","3.3","-","-","BYE","17.6","15.8","15.1","11.5","8.5","8.2","12.9","12.5","","13.9","181.2"
"39","Jahmyr Gibbs","RB","DET","6","5.6","8.2","5.1","-","-","18.6","24.9","BYE","23.2","15.5","7.3","5.4","14.2","22.8","20","4.3","","12.9","181.1"
"40","Deebo Samuel Sr.","WR","WAS","6.3","16.1","19.1","0.6","8.5","1.1","-","-","-","11.9","6.2","15.4","31.8","27","17.9","5.4","13.2","","12.9","180.5"
"41","Gus Edwards","RB","FA","5.2","12.2","5.1","4.9","4.8","5.3","20.4","27.4","17.2","8.8","19","3.7","-","1.5","12.9","13","10.8","","10.8","172.2"
"42","Brandon Aiyuk","WR","SF","24.9","4.3","-","14.8","5.8","7.6","5.7","10.9","BYE","11.5","21.6","11","10.6","10.6","3.7","11.3","17.4","","11.4","171.7"
"43","Desmond Ridder","QB","CIN","7.9","22.4","6.3","8.2","26.2","19.1","13.8","3.4","-","8.7","-","11.7","8.8","26.4","8.9","-","-0.3","","12.3","171.5"
"44","Brandon Aubrey","K","DAL","10","18","11","12","6","8","BYE","13","7","7","9","9","15","22","4","9","11","","10.7","171"
"45","Keenan Allen","WR","FA","8.2","23.1","27.5","9.2","-","14.5","5.5","6.9","7.7","29.5","17.6","8.6","5.8","6.8","-","-","-","","13.1","170.9"
"46","Isiah Pacheco","RB","KC","5.4","7","13.8","21.8","12.4","9.8","12","3.7","6.6","BYE","9.1","20.9","18.3","-","-","6.6","22.5","","12.1","169.9"
"47","Bijan Robinson","RB","ATL","14.3","17.2","6","13.7","9.8","8","0.3","12.2","3.9","16.6","BYE","24.3","7.9","14.8","-0.6","12.2","8.6","","10.6","169.2"
"48","Baltimore Ravens","DST","BAL","11","3","7","17","6","11","14","6","15","14","6","15","BYE","7","9","15","10","","10.4","166"
"49","Jerome Ford","RB","CLE","1.6","21.1","17.1","4.5","BYE","9.1","15.4","3.9","7.7","10.9","9.9","7.9","11.2","8.2","3.1","8.3","24.1","","10.3","164"
"50","Kenneth Walker III","RB","SEA","6.7","17.4","27.6","13.9","BYE","14.9","11.1","7","1.7","18.7","1.6","-","-","5.4","17.2","5.6","13.5","","11.6","162.3"
"51","Bryce Young","QB","CAR","9.5","13.5","-","7.2","20.3","12.7","BYE","14.5","12","9.2","6.2","8.1","8.1","7.5","7.6","22.2","3.7","","10.8","162.2"
"52","Dallas Cowboys","DST","DAL","37","15","1","27","-1","4","BYE","15","2","8","21","16","-1","11","0","1","6","","10.1","162"
"53","Ja'Marr Chase","WR","CIN","4.1","3.1","14.1","7.3","37.2","8","BYE","15.2","4.1","18.4","7.2","8.1","20.6","2.9","6.4","-","4.1","","10.7","160.8"
"54","Saquon Barkley","RB","PHI","6.3","21.2","-","-","-","9.8","15.8","12.8","11.3","6.1","26","5.2","-","20.1","3.7","16.4","5.8","","12.3","160.5"
"55","D'Andre Swift","RB","CHI","0.3","24.1","13.8","13.9","10.8","9.8","7.5","12.4","7.4","-","16.7","8.4","2","3.9","7.5","15.2","6.6","","10","160.3"
"56","DK Metcalf","WR","PIT","10.7","7.5","11.2","9.4","-","6.9","-","6.7","5","9.8","15.4","3.2","31.4","11.2","7.8","11.6","10.6","","10.6","158.4"
"57","Stefon Diggs","WR","NE","16.2","6.6","11.1","30","16.1","10","11.8","7","16.6","3.4","2.7","13.4","-","2.4","4.8","2.9","3.1","","9.9","158.1"
"58","Alvin Kamara","RB","NO","-","-","-","8.4","15.7","10.4","17.3","23","7","11.5","BYE","11.9","22.9","10.5","11","3.5","4.9","","12.2","158"
"59","Justin Tucker","K","FA","5","11","7","4","4","19","8","8","14","7","11","10","-","12","12","16","8","","9.8","156"
"60","Amari Cooper","WR","FA","3.7","9","17.6","1.6","-","10.8","2.2","8.9","19.9","9.8","3.4","1.6","3.4","5.7","16.9","40.5","-","","10.3","155"
"61","Nico Collins","WR","HOU","8","20.6","3.4","28.8","3.9","8","BYE","3","11.4","-","6.5","16.4","25.1","1.3","-","9.8","8.7","","11.1","154.9"
"62","Kirk Cousins","QB","ATL","17.5","28.6","26.7","11.6","19.9","8.7","22","19.9","-","-","BYE","-","-","-","-","-","-","","19.3","154.7"
"63","Brian Robinson Jr.","RB","WAS","12.6","26.9","7","11.1","4.3","11.6","8.3","7.9","10.7","21.7","13.2","6.4","5.3","BYE","-","-","7.6","","11","154.6"
"64","Joe Burrow","QB","CIN","3.2","16.4","9.2","4.7","24.4","14.8","BYE","27.6","22.3","21.9","8.7","-","-","-","-","-","-","","15.3","153.2"
"65","Tony Pollard","RB","TEN","20.2","12.9","12.1","6","4.4","11","BYE","5.5","6.3","5.5","14","16.3","14.3","9.6","5.7","4.3","4.9","","9.6","153"
"65","Cleveland Browns","DST","CLE","9","7","12","4","BYE","6","16","5","23","15","7","3","-1","12","13","7","15","","9.6","153"
"67","Jake Elliott","K","PHI","18","12","11","18","11","2","7","10","4","BYE","3","9","7","10","5","17","8","","9.5","152"
"68","Davante Adams","WR","LAR","6.6","14.4","29.2","7.5","4.5","2.9","5.7","1.1","3.4","8.6","14.2","7.3","-","5.3","16.1","0.4","24.6","","9.5","151.8"
"69","De'Von Achane","RB","MIA","-","0.9","47.3","24","20.5","-","-","-","-","BYE","0.5","-","22.3","7.1","6.2","3.1","19.7","","15.2","151.6"
"70","Jason Myers","K","SEA","8","7","18","6","BYE","9","9","6","3","21","15","9","5","5","9","8","13","","9.4","151"
"71","Dustin Hopkins","K","CLE","12","9","12","5","BYE","17","22","8","10","14","7","6","8","9","8","2","-","","9.9","149"
"72","James Conner","RB","ARI","7","16.6","17.6","5.6","4.6","-","-","-","-","7.3","6.3","3.2","22.5","BYE","14.9","17.2","25.3","","12.3","148.1"
"73","Najee Harris","RB","LAC","3.3","4.3","6.5","10.3","4","-","12.8","5.5","13.6","15.6","3.6","15.9","7.7","4.8","1.3","13.8","24.2","","9.2","147.2"
"74","Buffalo Bills","DST","BUF","5","10","32","9","9","7","2","6","1","6","21","2","BYE","6","9","5","17","","9.2","147"
"74","Cairo Santos","K","CHI","7","7","4","4","17","9","8","1","5","12","17","14","BYE","11","6","10","15","","9.2","147"
"76","DeVonta Smith","WR","PHI","10.7","19.1","2.8","7.8","0.6","4.4","4.9","15.9","11.1","BYE","9.9","16.6","15.6","5.3","5","13.9","3","","9.2","146.6"
"77","Matt Gay","K","WAS","3","8","24","1","12","10","8","10","11","6","-","10","14","0","13","4","12","","9.1","146"
"77","Harrison Butker","K","KC","8","5","12","11","10","17","7","11","3","BYE","6","7","7","5","11","2","24","","9.1","146"
"79","George Pickens","WR","DAL","3.6","18.7","7.5","2.5","20.6","-","10.7","8.2","-0.1","4.5","3.7","5.8","8.6","1.9","4.7","31.5","13.1","","9.1","145.5"
"80","Sam LaPorta","TE","DET","3.9","6.3","14.4","5.6","16.7","3.6","5.2","11.7","BYE","4","3.8","12.7","20","2.7","23.6","1.8","8.4","","9","144.4"
"81","Josh Jacobs","RB","GB","7.1","4.9","8","19.9","14.9","9.3","4.1","14.8","21.8","10.7","5.1","18.5","-","5","-","-","-","","11.1","144.1"
